DriverRaing,RoadWorks,Weather,Temperature,Realtime
61,2,30,48,19.9833333333
61,2,11,53,20.4833333333
61,2,34,64,19.25
61,2,23,52,20.1833333333
61,2,28,57,17.1333333333
61,2,26,55,17.25
61,2,26,51,18.9333333333
61,2,28,56,19.1
61,2,26,56,19.8333333333
61,2,24,51,17.6666666667
61,2,34,57,16.1166666667
61,2,30,67,17.3666666667
61,2,20,55,17.8333333333
61,2,32,58,20.9166666667
61,2,26,54,22.4
61,2,30,55,19.4333333333
61,2,30,58,18.4333333333
61,2,26,56,17.8833333333
61,2,23,61,19.3333333333
61,2,34,58,18.45
61,2,32,53,16.2166666667
61,2,26,56,15.85
61,2,32,61,17
61,2,23,56,14.6333333333
61,2,26,57,16.8666666667
61,2,26,58,18.7333333333
61,2,30,56,15.3166666667
61,2,26,54,15.5333333333
61,2,26,56,15.25
61,2,28,56,14.3333333333
64,3,30,53,19.8833333333
64,3,26,48,19.3
64,3,26,57,19.9333333333
64,3,30,64,18.1666666667
64,3,26,53,22
64,3,26,56,13.4
64,3,30,56,19.3333333333
64,3,28,59,16.8666666667
64,3,30,53,18.45
64,3,30,56,22.9
64,3,32,53,18.9
64,3,26,48,19.3
64,3,28,59,21.0833333333
64,3,30,62,17.6666666667
64,3,28,61,17.6666666667
64,3,34,64,22.7333333333
64,3,28,52,17.3666666667
64,3,23,57,20.1166666667
64,3,34,58,20.5666666667
64,3,26,57,19.8333333333
64,3,23,56,16.0333333333
64,3,32,62,18.4666666667
64,3,34,53,16.85
64,3,23,58,22.6666666667
64,3,23,55,16.35
64,3,23,55,19.15
64,3,28,62,18.8
64,3,26,56,17.3
64,3,28,56,15.8666666667
64,3,26,54,14.5166666667
64,3,26,59,17.5166666667
64,3,32,60,19.0166666667
64,3,32,61,16.1333333333
64,3,34,61,14.9833333333
115,4,30,57,20.9
115,4,27,55,21.3166666667
115,4,29,46,33.0166666667
115,4,28,63,27.8333333333
115,4,24,55,19.5833333333
115,4,26,61,17.9333333333
115,4,26,58,13.5
115,4,28,57,21.3666666667
115,4,26,63,19.55
115,4,30,69,23.0166666667
118,5,29,54,22.0166666667
118,5,24,57,20.75
118,5,23,62,17.9
118,5,24,57,20.4333333333
118,5,26,61,17.2333333333
118,5,28,61,19.4333333333
118,5,23,57,20.7333333333
118,5,11,61,21.8166666667
118,5,34,67,18.95
118,5,23,58,22.4166666667
121,6,11,53,26.1166666667
121,6,23,61,19.5666666667
121,6,23,58,18.2333333333
121,6,24,55,19.5833333333
121,6,27,60,17.1333333333
121,6,27,63,19.6666666667
121,6,28,58,21.0666666667
121,6,32,58,20.6
121,6,11,54,22.8833333333
121,6,28,58,22.8666666667
121,6,23,58,20
121,6,29,55,12.3833333333
121,6,27,60,17.1333333333
121,6,26,53,20.4
121,6,26,58,20.35
